constraint_type	constraint_name	schema_name	table	column	referenced_table	referenced_column	referenenced_table_count	table_count
pk	PK_GCDE_TAX_RPT	dbo	GCDE_TAX_RPT	TAX_RPT_CD	NULL	NULL	0	0
pk	PK_GXRF_DO_BA_TAX_EXMPT	dbo	GXRF_DO_BA_TAX_EXMPT	BA_NO	NULL	NULL	0	0
pk	PK_GXRF_DO_BA_TAX_EXMPT	dbo	GXRF_DO_BA_TAX_EXMPT	BA_SUB	NULL	NULL	0	0
pk	PK_GXRF_DO_BA_TAX_EXMPT	dbo	GXRF_DO_BA_TAX_EXMPT	OPER_BUS_SEG_CD	NULL	NULL	0	0
pk	PK_RSTG_1099_MISC	dbo	RSTG_1099_MISC	SEQ_NO	NULL	NULL	0	0
pk	PK_GCDE_OWNRSHIP_TYPE	dbo	GCDE_OWNRSHIP_TYPE	OWNRSHIP_TYPE_CD	NULL	NULL	0	0
pk	PK_TXRF_TX_FLD	dbo	TXRF_TX_FLD	FLD_NO	NULL	NULL	0	0
pk	PK_TXRF_TX_FLD	dbo	TXRF_TX_FLD	OPER_BUS_SEG_CD	NULL	NULL	0	0
pk	PK_TXRF_TX_FLD	dbo	TXRF_TX_FLD	TX_FLD_NO	NULL	NULL	0	0
pk	PK_PSTG_WELL_TEST	dbo	PSTG_WELL_TEST	WELL_TEST_SEQ_NO	NULL	NULL	0	0
pk	PK_PHIST_AUDIT2	dbo	PHIST_AUDIT2	AUDIT_COL_ID	NULL	NULL	0	0
pk	PK_PHIST_AUDIT2	dbo	PHIST_AUDIT2	AUDIT_ID	NULL	NULL	0	0
pk	PK_PHIST_AUDIT2	dbo	PHIST_AUDIT2	AUDIT_OBJECT_ID	NULL	NULL	0	0
pk	PK_PHIST_AUDIT2	dbo	PHIST_AUDIT2	AUDIT_STMT_ID	NULL	NULL	0	0
pk	PK_PHIST_AUDIT2	dbo	PHIST_AUDIT2	AUDIT_TBL_ID	NULL	NULL	0	0
pk	PK_GCDE_CTR_DT_TYPE	dbo	GCDE_CTR_DT_TYPE	CTR_DT_TYPE_CD	NULL	NULL	0	0
pk	PK_DONL_BEARER_GRP_HDR	dbo	DONL_BEARER_GRP_HDR	BEARER_GRP_NO	NULL	NULL	0	0
pk	PK_DONL_BEARER_GRP_HDR	dbo	DONL_BEARER_GRP_HDR	DO_MAJ_PROD_CD	NULL	NULL	0	0
pk	PK_DONL_BEARER_GRP_HDR	dbo	DONL_BEARER_GRP_HDR	DO_TYPE_CD	NULL	NULL	0	0
pk	PK_DONL_BEARER_GRP_HDR	dbo	DONL_BEARER_GRP_HDR	OPER_BUS_SEG_CD	NULL	NULL	0	0
pk	PK_DONL_BEARER_GRP_HDR	dbo	DONL_BEARER_GRP_HDR	PROP_NO	NULL	NULL	0	0
pk	PK_DONL_BEARER_GRP_HDR	dbo	DONL_BEARER_GRP_HDR	TIER	NULL	NULL	0	0
pk	PK_TSTG_TAX_INPUT_MKT_ADJ	dbo	TSTG_TAX_INPUT_MKT_ADJ	ADJ_TYPE_CD	NULL	NULL	0	0
pk	PK_TSTG_TAX_INPUT_MKT_ADJ	dbo	TSTG_TAX_INPUT_MKT_ADJ	DDUC_REIMB_CD	NULL	NULL	0	0
pk	PK_TSTG_TAX_INPUT_MKT_ADJ	dbo	TSTG_TAX_INPUT_MKT_ADJ	PROCESS_QUEUE_ID	NULL	NULL	0	0
pk	PK_TSTG_TAX_INPUT_MKT_ADJ	dbo	TSTG_TAX_INPUT_MKT_ADJ	TAX_INPUT_NO	NULL	NULL	0	0
pk	PK_KONL_OIL_GRV_ADJ_RATE	dbo	KONL_OIL_GRV_ADJ_RATE	API_GRV_ADJ_CD	NULL	NULL	0	0
pk	PK_KONL_OIL_GRV_ADJ_RATE	dbo	KONL_OIL_GRV_ADJ_RATE	API_GRV_FROM	NULL	NULL	0	0
pk	PK_KONL_OIL_GRV_ADJ_RATE	dbo	KONL_OIL_GRV_ADJ_RATE	API_GRV_TO	NULL	NULL	0	0
pk	PK_KONL_OIL_GRV_ADJ_RATE	dbo	KONL_OIL_GRV_ADJ_RATE	EFF_DT_FROM	NULL	NULL	0	0
pk	PK_KONL_OIL_GRV_ADJ_RATE	dbo	KONL_OIL_GRV_ADJ_RATE	OPER_BUS_SEG_CD	NULL	NULL	0	0
pk	PK_KONL_OIL_GRV_ADJ_RATE	dbo	KONL_OIL_GRV_ADJ_RATE	POSTING_CO	NULL	NULL	0	0
pk	PK_KONL_OIL_GRV_ADJ_RATE	dbo	KONL_OIL_GRV_ADJ_RATE	POSTING_CO_SUB	NULL	NULL	0	0
pk	PK_AXRF_INT_TYPE	dbo	AXRF_INT_TYPE	INT_TYPE_CD_XRF	NULL	NULL	0	0
pk	PK_AXRF_INT_TYPE	dbo	AXRF_INT_TYPE	SRC_SYS_CD	NULL	NULL	0	0
pk	PK_GCDE_DESKID	dbo	GCDE_DESKID	DESKID_NO	NULL	NULL	0	0
pk	PK_TRPT_LA_DRT_O1D	dbo	TRPT_LA_DRT_O1D	LA_O1D_SEQ_NO	NULL	NULL	0	0
pk	PK_STRAN_PDS_PONL_IMBAL_INTFC	dbo	STRAN_PDS_PONL_IMBAL_INTFC	IMBAL_SEQ_NO	NULL	NULL	0	0
pk	PK_RSTG_RD_RECOUP_INPUT	dbo	RSTG_RD_RECOUP_INPUT	RECOUP_INPUT_NO	NULL	NULL	0	0
pk	PK_GXRF_HLDR_RPT_SYS_CTRY	dbo	GXRF_HLDR_RPT_SYS_CTRY	CTRY_CD	NULL	NULL	0	0
pk	PK_ASTG_IMP_DOI	dbo	ASTG_IMP_DOI	SEQ_NO	NULL	NULL	0	0
pk	PK_GCDE_TAX_RPTD	dbo	GCDE_TAX_RPTD	RPTD_CD	NULL	NULL	0	0
pk	PK_RSTG_1099_RECIP	dbo	RSTG_1099_RECIP	SEQ_NO	NULL	NULL	0	0
pk	PK_GCDE_PARM_TYPE	dbo	GCDE_PARM_TYPE	PARM_TYPE_CD	NULL	NULL	0	0
pk	PK_TONL_CA_DOG_MST	dbo	TONL_CA_DOG_MST	COMPL_NO	NULL	NULL	0	0
pk	PK_TONL_CA_DOG_MST	dbo	TONL_CA_DOG_MST	EFF_DT_FROM	NULL	NULL	0	0
pk	PK_TONL_CA_DOG_MST	dbo	TONL_CA_DOG_MST	OPER_BUS_SEG_CD	NULL	NULL	0	0
pk	PK_TONL_CA_DOG_MST	dbo	TONL_CA_DOG_MST	WELL_NO	NULL	NULL	0	0
pk	PK_TXRF_TX_LSE_TYPE	dbo	TXRF_TX_LSE_TYPE	TAX_CLASS_CD	NULL	NULL	0	0
pk	PK_PSTG_WELL_WITSML	dbo	PSTG_WELL_WITSML	OPER_BUS_SEG_CD	NULL	NULL	0	0
pk	PK_PSTG_WELL_WITSML	dbo	PSTG_WELL_WITSML	WELL_NO	NULL	NULL	0	0
pk	PK_THIST_AUDIT1	dbo	THIST_AUDIT1	AUDIT_COL_ID	NULL	NULL	0	0
pk	PK_THIST_AUDIT1	dbo	THIST_AUDIT1	AUDIT_ID	NULL	NULL	0	0
pk	PK_THIST_AUDIT1	dbo	THIST_AUDIT1	AUDIT_OBJECT_ID	NULL	NULL	0	0
pk	PK_THIST_AUDIT1	dbo	THIST_AUDIT1	AUDIT_STMT_ID	NULL	NULL	0	0
pk	PK_THIST_AUDIT1	dbo	THIST_AUDIT1	AUDIT_TBL_ID	NULL	NULL	0	0
pk	PK_GCDE_CTR_FLD	dbo	GCDE_CTR_FLD	CTR_FLD_CD	NULL	NULL	0	0
pk	PK_DSTG_DO_DETAIL	dbo	DSTG_DO_DETAIL	SEQ_NO	NULL	NULL	0	0
pk	PK_DONL_DO_HDR	dbo	DONL_DO_HDR	DO_MAJ_PROD_CD	NULL	NULL	0	0
pk	PK_DONL_DO_HDR	dbo	DONL_DO_HDR	DO_TYPE_CD	NULL	NULL	0	0
pk	PK_DONL_DO_HDR	dbo	DONL_DO_HDR	OPER_BUS_SEG_CD	NULL	NULL	0	0
