fk_name	schema_name	table	column	referenced_table	referenced_column
FK_TXRF_WY_DOR_PLNT__GCDE_TAX_WY_DOR_PLNT	dbo	TXRF_WY_DOR_PLNT	WY_DOR_PLNT_CD	GCDE_TAX_WY_DOR_PLNT	WY_DOR_PLNT_CD
FK_DRPT_ESCHT_NAUPA_PROP__DRPT_ESCHT_NAUPA_HLDR	dbo	DRPT_ESCHT_NAUPA_PROP	NAUPA_SEQ_NO	DRPT_ESCHT_NAUPA_HLDR	NAUPA_SEQ_NO
FK_DTRN_DO_DEC_WI__DTRN_DO_DEC_INPUT	dbo	DTRN_DO_DEC_WI	DO_DEC_SEQ_NO	DTRN_DO_DEC_INPUT	DO_DEC_SEQ_NO
FK_TSTG_TX_RYL_RPT_DETAIL_RYLTY_TX_SEQ_NO	dbo	TSTG_TX_RYL_RPT_DETAIL	RYLTY_TX_SEQ_NO	TSTG_TX_RYL_RPT_HDR	RYLTY_TX_SEQ_NO
FK_DSTG_DO_TRACK_HDR__GCDE_TRACK_ERR	dbo	DSTG_DO_TRACK_HDR	TRACK_ERR_CD	GCDE_TRACK_ERR	TRACK_ERR_CD
FK_JONL_BCH_REV__JONL_BCH_REV_CTRL	dbo	JONL_BCH_REV	REV_JOB_ID	JONL_BCH_REV_CTRL	REV_JOB_ID
FK_RONL_TREND_TYPE_PROP__GCDE_TREND_TYPE	dbo	RONL_TREND_TYPE_PROP	TREND_TYPE_CD	GCDE_TREND_TYPE	TREND_TYPE_CD
FK_GCDE_TURBINE_MDL	dbo	GCDE_TURBINE_MDL	TURBINE_MFG_CD	GCDE_TURBINE_MFG	TURBINE_MFG_CD
FK_GXRF_FLDR_GRP_CD_TBL__GCDE_FLDR_GRP	dbo	GXRF_FLDR_GRP_CD_TBL	FLDR_GRP_CD	GCDE_FLDR_GRP	FLDR_GRP_CD
FK_TSTG_TX_UT_RPT_DETAIL__RYLTY_TX_UT_SEQ_NO	dbo	TSTG_TX_UT_RPT_DETAIL	RYLTY_TX_UT_SEQ_NO	TSTG_TX_UT_RPT_HDR	RYLTY_TX_UT_SEQ_NO
FK_GCDE_SUB_VAR_TYPE__GCDE_VAR_TYPE	dbo	GCDE_SUB_VAR_TYPE	VAR_CD	GCDE_VAR_TYPE	VAR_CD
FK_RTRN_TAX_FREE_DEC_DETAIL_HIST__RTRN_TAX_FREE_DEC_HDR_HIST	dbo	RTRN_TAX_FREE_DEC_DETAIL_HIST	TAX_FREE_NO	RTRN_TAX_FREE_DEC_HDR_HIST	TAX_FREE_NO
FKD_JTRN_AR_XFER_DETAIL__JTRN_AR_XFER_HDR	dbo	JTRN_AR_XFER_DETAIL	AR_XFER_HDR_NO	JTRN_AR_XFER_HDR	AR_XFER_HDR_NO
FK_GCDE_GAS_INDX_CATG__GCDE_GAS_INDX_PUBL	dbo	GCDE_GAS_INDX_CATG	INDX_PUBL_CD	GCDE_GAS_INDX_PUBL	INDX_PUBL_CD
FK_TTRN_TX_UT_RPT_DETAIL__RYLTY_TX_UT_SEQ_NO	dbo	TTRN_TX_UT_RPT_DETAIL	RYLTY_TX_UT_SEQ_NO	TTRN_TX_UT_RPT_HDR	RYLTY_TX_UT_SEQ_NO
FK_UTIL_CODE_OBJECT_TYPE1	dbo	UTIL_OBJECT_SOURCE_LIST	OBJECT_TYPE_CD	UTIL_CODE_OBJECT_TYPE	OBJECT_TYPE_CD
FK_GXRF_PROP_AFFIL__GCDE_AFFIL_STAT	dbo	GXRF_PROP_AFFIL	AFFIL_STAT_CD	GCDE_AFFIL_STAT	AFFIL_STAT_CD
FK_DSTG_DO_GWI_INPUT__GCDE_GMI_ERR	dbo	DSTG_DO_GWI_INPUT	GMI_ERR_CD	GCDE_GMI_ERR	GMI_ERR_CD
FK_TXRF_AL_MNCPL_GCDE_TAX_AL_MNCPL	dbo	TXRF_AL_MNCPL	AL_MNCPL_CD	GCDE_TAX_AL_MNCPL	AL_MNCPL_CD
FK_GXRF_BUS_UNIT_REGISTRANT__GCDE_REGISTRANT	dbo	GXRF_BUS_UNIT_REGISTRANT	REGISTRANT_CD	GCDE_REGISTRANT	REGISTRANT_CD
FK_TTRN_TX_GLO_RPT_DETAIL__RYLTY_TX_GLO_SEQ_NO	dbo	TTRN_TX_GLO_RPT_DETAIL	RYLTY_TX_GLO_SEQ_NO	TTRN_TX_GLO_RPT_HDR	RYLTY_TX_GLO_SEQ_NO
FK_GCDE_OPER_GRP__GCDE_BUS_SEG	dbo	GCDE_OPER_GRP	BUS_SEG_CD	GCDE_BUS_SEG	BUS_SEG_CD
FK_TSTG_TX_GLO_RPT_DETAIL__RYLTY_TX_GLO_SEQ_NO	dbo	TSTG_TX_GLO_RPT_DETAIL	RYLTY_TX_GLO_SEQ_NO	TSTG_TX_GLO_RPT_HDR	RYLTY_TX_GLO_SEQ_NO
FK_RXRF_CW_PDCR_TYPE_RECIP__GCDE_PDCR_TYPE	dbo	RXRF_CW_PDCR_TYPE_RECIP	PDCR_TYPE_CD	GCDE_PDCR_TYPE	PDCR_TYPE_CD
FK_QSTAG_BA_JIB_OFFSET_PROP__QSTAG_BA_JIB_OFFSET	dbo	QSTAG_BA_JIB_OFFSET_PROP	TRANS_SEQ_NO	QSTAG_BA_JIB_OFFSET	TRANS_SEQ_NO
FK_TXRF_EIA_RPTG_AREA__GCDE_TAX_EIA_RPTG_AREA	dbo	TXRF_EIA_RPTG_AREA	RPTG_AREA_CD	GCDE_TAX_EIA_RPTG_AREA	RPTG_AREA_CD
FK_GONL_CD_TBL_COL__GONL_CD_TBL	dbo	GONL_CD_TBL_COL	TBL_NM	GONL_CD_TBL	TBL_NM
FK_GCDE_CTR_TYPE__GCDE_CTR_CTGY	dbo	GCDE_CTR_TYPE	CTR_CTGY_CD	GCDE_CTR_CTGY	CTR_CTGY_CD
FK_GCDE_CTR_FLD__GCDE_CTR_DIST	dbo	GCDE_CTR_FLD	CTR_DIST_CD	GCDE_CTR_DIST	CTR_DIST_CD
FK_GCDE_DO_TYPE__GCDE_DO_TYPE_GRP	dbo	GCDE_DO_TYPE	DO_TYPE_GRP_CD	GCDE_DO_TYPE_GRP	DO_TYPE_GRP_CD
FK_TXRF_WY_AGP_DDUC_GAS__GCDE_TAX_WY_AGP_GAS_DDUC	dbo	TXRF_WY_AGP_DDUC_GAS	WY_AGP_GAS_DDUC_CD	GCDE_TAX_WY_AGP_GAS_DDUC	WY_AGP_GAS_DDUC_CD
FK_TXRF_TX_LSE_TYPE__GCDE_TAX_TX_LSE_TYPE	dbo	TXRF_TX_LSE_TYPE	LSE_TYPE_CD	GCDE_TAX_TX_LSE_TYPE	LSE_TYPE_CD
FK_TXRF_LA_KIND__GCDE_TAX_LA_KIND	dbo	TXRF_LA_KIND	LA_KIND_CD	GCDE_TAX_LA_KIND	LA_KIND_CD
FK_GCDE_JE_REJ_LVL_COL__GCDE_JE_REJ_LVL	dbo	GCDE_JE_REJ_LVL_COL	REJ_LVL_CD	GCDE_JE_REJ_LVL	REJ_LVL_CD
FK_TXRF_UT_STC_PROD__GCDE_TAX_UT_PROD	dbo	TXRF_UT_STC_PROD	UT_PROD_CD	GCDE_TAX_UT_PROD	UT_PROD_CD
FK_TXRF_UT_WELL_CLASS__GCDE_TAX_UT_WELL_CLASS	dbo	TXRF_UT_WELL_CLASS	UT_WELL_CLASS_CD	GCDE_TAX_UT_WELL_CLASS	UT_WELL_CLASS_CD
FK_TXRF_UT_WELL_STAT__GCDE_TAX_UT_WELL_STAT	dbo	TXRF_UT_WELL_STAT	UT_WELL_STAT_CD	GCDE_TAX_UT_WELL_STAT	UT_WELL_STAT_CD
FK_GXRF_CW_DISP_CTGY_DISP__GCDE_CW_DISP_CTGY	dbo	GXRF_CW_DISP_CTGY_DISP	CW_DISP_CTGY_CD	GCDE_CW_DISP_CTGY	CW_DISP_CTGY_CD
FK_TXRF_LA_MEAS_MTHD__GCDE_TAX_LA_MEAS_MTHD	dbo	TXRF_LA_MEAS_MTHD	LA_MEAS_MTHD_CD	GCDE_TAX_LA_MEAS_MTHD	LA_MEAS_MTHD_CD
FK_RONL_EST_PYBL_RATE_OWNER_INPUT__RONL_EST_PYBL_RATE_INPUT	dbo	RONL_EST_PYBL_RATE_OWNER_INPUT	SEQ_NO	RONL_EST_PYBL_RATE_INPUT	SEQ_NO
FK_GSTG_ORG_HIER_DETAIL__GSTG_ORG_HIER_HDR	dbo	GSTG_ORG_HIER_DETAIL	ORG_HDR_NO	GSTG_ORG_HIER_HDR	ORG_HDR_NO
FK_RTRN_CI_CDEX_FILE_HIST__GCDE_CI_CDEX_FILE_STAT	dbo	RTRN_CI_CDEX_FILE_HIST	CI_CDEX_FILE_STAT_CD	GCDE_CI_CDEX_FILE_STAT	CI_CDEX_FILE_STAT_CD
